   6,   6, 635, 6
   6,   6,   6, 420
   6, 470, 635, 470
   6, 420, 100, 420
  50,  50,  50, 200
  50,  50, 100,  50
  50, 100, 200, 100
  50, 250, 100, 250
  50, 250,  50, 420
 200, 100, 200, 250
 200, 250, 250, 250
 200,   6, 200,  50
 200, 470, 200, 426
 200, 426, 250, 426
 200, 350, 200, 300
 250,  50, 250, 150
 250,  50, 300,  50
 250, 426, 250, 470
 250, 350, 300, 350
 250, 300, 250, 350
 300, 350, 300, 426
 300, 426, 420, 426
 300,  50, 300, 300
 300, 250, 374, 250
 374, 250, 374, 350
 374, 350, 585, 350
 374,   6, 374, 150
 374, 200, 635, 200
 420,  50, 420, 200
 420,  50, 635,  50
 420, 250, 420, 350
 420, 250, 585, 250
 420, 426, 420, 470
 500, 350, 500, 470
 585, 250, 585, 426
 100,   6, 100,  50
 100, 150, 100, 420
 100, 350, 200, 350
 635,  50, 635, 470
